TJS	TKG,PNH,KUL,PDG,HAK,MES,ZUH,ZHA,BKK,HKG,SZX,BHY,TNN,SWA,HPH,CAN,VTE,HAN,TXG,NNG
TJU	URC,LKO,THR,AMD,AKX,BAK,JGA,RAJ,BDQ,RAS,BHO,IDR,SYZ,KTM,VNS,REN,OMS,DIU,MCX,DXB
HLJ	BVA,CDG,LCY,VOG,LTN,BQH,LON,PAR,EMA,ORY,LHR,LGW,MAN,BHX,LPL,KUF,IST,CEG,GLA,PIK
NOZ	CIT,TAS,PEE,UFA,AKX,REN,DYU,INC,BAV,ZGC,KUF,KZN,SXR,UYN,ISB,PEW,KBL,ATQ,TYN,LHE
HLH	HFE,PVG,NNY,ITM,KCZ,KIX,XFN,NGO,HGH,HSN,NGB,WUH,AKA,ZGC,YIW,TYO,HND,NRT,OIM,YIH
HLG	BDA,XEF,YWG,IAH,HOU,YQY,AUS,HAV,SAT,DEN,CUN,GGW,MTY,ELP,SLW,KTP,STI,KIN,TAM,HEX
HLF	BBU,VOZ,MRS,SOF,CIA,FCO,DOK,AGF,NAP,PUF,ROV,KZN,RTW,BCN,IST,VOG,ZAZ,PMO,KUF,ATH
NOV	HRE,YAO,LLW,JNB,BLZ,BEW,PHC,MPM,CPT,DUR,LOS,PLZ,WIL,DAR,WUU,NBO,ACC,MBA,KAN,ABJ
HLD	INC,LYG,TAE,KWJ,XUZ,USN,PUS,LYA,YNZ,OKD,CTS,FUG,NNY,NTG,CZX,ZGC,UBJ,FUK,HIW,HFE
HLA	BMD,DAR,LAD,MBA,FIH,WIL,NBO,MGQ,WUU,YAO,ADD,PHC,LOS,ACC,KAN,TAI,ABJ,SAH,NIM,OUA
NOS	MGQ,NBO,WIL,HRE,LUN,MPM,BUQ,JNB,DUR,ADD,TAI,SAH,WUU,PLZ,FIH,CPT,LAD,TRV,JED,CCJ
ENW	AUS,TPA,SAT,MLB,APF,MIA,MPB,ELP,MTY,YYC,YEG,SLW,CUU,YQY,HAV,XZL,PHX,BDA,CUN,TAM
FJR	RAE,KBL,SAH,AMD,MED,JDH,TBZ,BDQ,PEW,LYP,JED,TAI,BAK,BOM,ISB,DYU,LHE,VAN,ATQ,PNQ
MDL	LKO,ENH,SGN,NAG,CGD,AKA,CAN,ZUH,ZGC,YIH,SZX,HKG,GWL,HYD,AGR,BHO,MAA,XFN,MES,DEL
LMY	ENE,RMA,DVO,UPG,BNE,ZAM,OOL,CEB,WNP,SSR,ADL,SYD,SUB,MNL,MEL,SRG,PTJ,BDO,PER,CGK
RLO	VVI,CBB,CGR,CWB,LPB,AQP,SOD,VCP,CGH,CPQ,GRU,GIG,PLU,BSB,LIM,CAW,TRU,MAO,GYE,AJU
EDF	CXH,YVR,RSJ,XZL,LKE,YEG,SEA,YYC,PDX,SLE,GGW,SFO,SJC,YWG,XEF,LAS,LAX,DEN,LYU,SAN
RLK	HGH,ICN,PVG,GMP,SEL,URC,YIW,NGB,KWL,CJJ,KWJ,HSN,MDG,LZH,WNZ,TAE,JMU,BSD,PUS,USN
